Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Founded
SNA,Snap-on,Industrials,Industrial Machinery,"Kenosha, Wisconsin",1920
SEDG,SolarEdge,Information Technology,Semiconductor Equipment,"Herzliya, Israel",2006
SO,Southern Company,Utilities,Electric Utilities,"Atlanta, Georgia",1945
LUV,Southwest Airlines,Industrials,Airlines,"Dallas, Texas",1967
SWK,Stanley Black & Decker,Industrials,Industrial Machinery,"New Britain, Connecticut",1843
SBUX,Starbucks,Consumer Discretionary,Restaurants,"Seattle, Washington",1971
STT,State Street Corporation,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",1792
STE,Steris,Health Care,Health Care Equipment,"Dublin, Ireland",1985
SYK,Stryker Corporation,Health Care,Health Care Equipment,"Kalamazoo, Michigan",1941
SIVB,SVB Financial,Financials,Regional Banks,"Santa Clara, California",1983
SYF,Synchrony Financial,Financials,Consumer Finance,"Stamford, Connecticut",2003
SNPS,Synopsys,Information Technology,Application Software,"Mountain View, California",1986
SYY,Sysco,Consumer Staples,Food Distributors,"Houston, Texas",1969
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",1994
TROW,T. Rowe Price,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",1937
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,"New York City, New York",1993
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",2017
TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",2005
TGT,Target Corporation,Consumer Discretionary,General Merchandise Stores,"Minneapolis, Minnesota",1902
TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,"Schaffhausen, Switzerland",2007
TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,"Thousand Oaks, California",1960
TFX,Teleflex,Health Care,Health Care Equipment,"Wayne, Pennsylvania",1943
TER,Teradyne,Information Technology,Semiconductor Equipment,"North Reading, Massachusetts",1960
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,"Austin, Texas",2003
TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",1930
TXT,Textron,Industrials,Aerospace & Defense,"Providence, Rhode Island",1923
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,"Waltham, Massachusetts",2006 (1902)
TJX,TJX Companies,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",1987
TSCO,Tractor Supply,Consumer Discretionary,Specialty Stores,"Brentwood, Tennessee",1938
TT,Trane Technologies,Industrials,Building Products,"Dublin, Ireland",1871
TDG,TransDigm Group,Industrials,Aerospace & Defense,"Cleveland, Ohio",1993
TRV,The Travelers Companies,Financials,Property & Casualty Insurance,"New York City, New York",1853
TRMB,Trimble Inc.,Information Technology,Electronic Equipment & Instruments,"Westminster, Colorado",1978
TFC,Truist,Financials,Regional Banks,"Charlotte, North Carolina",1872
TYL,Tyler Technologies,Information Technology,Application Software,"Plano, Texas",1966
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",1935
USB,U.S. Bank,Financials,Diversified Banks,"Minneapolis, Minnesota",1968
UDR,"UDR, Inc.",Real Estate,Residential REITs,"Highlands Ranch, Colorado",1972
ULTA,Ulta Beauty,Consumer Discretionary,Specialty Stores,"Bolingbrook, Illinois",1990
UNP,Union Pacific Corporation,Industrials,Railroads,"Omaha, Nebraska",1862
UAL,United Airlines Holdings,Industrials,Airlines,"Chicago, Illinois",1967
UPS,United Parcel Service,Industrials,Air Freight & Logistics,"Sandy Springs, Georgia",1907
URI,United Rentals,Industrials,Trading Companies & Distributors,"Stamford, Connecticut",1997
UNH,UnitedHealth Group,Health Care,Managed Health Care,"Minnetonka, Minnesota",1977
UHS,Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",1979
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",1980
VTR,Ventas,Real Estate,Health Care REITs,"Chicago, Illinois",1998
VRSN,Verisign,Information Technology,Internet Services & Infrastructure,"Dulles, Virginia",1995
VRSK,Verisk,Industrials,Research & Consulting Services,"Jersey City, New Jersey",1971
VZ,Verizon,Communication Services,Integrated Telecommunication Services,"New York City, New York",1983 (1877)
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,"Cambridge, Massachusetts",1989
VFC,VF Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Denver, Colorado",1899
VTRS,Viatris,Health Care,Pharmaceuticals,"Pittsburgh, Pennsylvania",1961
VICI,Vici Properties,Real Estate,Hotel & Resort REITs,"New York City, New York",2017
V,Visa Inc.,Information Technology,Data Processing & Outsourced Services,"San Francisco, California",1958
VNO,Vornado Realty Trust,Real Estate,Office REITs,"New York City, New York",1982
VMC,Vulcan Materials Company,Materials,Construction Materials,"Birmingham, Alabama",1909
WAB,Wabtec,Industrials,Construction Machinery & Heavy Trucks,"Pittsburgh, Pennsylvania",1999 (1869)
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,"Deerfield, Illinois",2014
WMT,Walmart,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas",1962
WBD,Warner Bros. Discovery,Communication Services,Broadcasting,"New York City, New York",2022
WM,Waste Management,Industrials,Environmental & Facilities Services,"Houston, Texas",1968
WAT,Waters Corporation,Health Care,Health Care Distributors,"Milford, Massachusetts",1958
WEC,WEC Energy Group,Utilities,Electric Utilities,"Milwaukee, Wisconsin",1896
WFC,Wells Fargo,Financials,Diversified Banks,"San Francisco, California",1852
WELL,Welltower,Real Estate,Health Care REITs,"Toledo, Ohio",1970
WST,West Pharmaceutical Services,Health Care,Health Care Supplies,"Exton, Pennsylvania",1923
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",1970
WRK,WestRock,Materials,Paper Packaging,"Atlanta, Georgia",2015
WY,Weyerhaeuser,Real Estate,Specialized REITs,"Seattle, Washington",1900
WHR,Whirlpool Corporation,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan",1911
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",1908
WTW,Willis Towers Watson,Financials,Insurance Brokers,"London, United Kingdom",2016
GWW,W. W. Grainger,Industrials,Industrial Machinery,"Lake Forest, Illinois",1927
WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",2002
XEL,Xcel Energy,Utilities,Multi-Utilities,"Minneapolis, Minnesota",1909
XYL,Xylem Inc.,Industrials,Industrial Machinery,"White Plains, New York",2011
YUM,Yum! Brands,Consumer Discretionary,Restaurants,"Louisville, Kentucky",1997
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,"Lincolnshire, Illinois",1969
ZBH,Zimmer Biomet,Health Care,Health Care Equipment,"Warsaw, Indiana",1927
ZION,Zions Bancorporation,Financials,Regional Banks,"Salt Lake City, Utah",1873
ZTS,Zoetis,Health Care,Pharmaceuticals,"Parsippany, New Jersey",1952
